Component,Description,Part,Designator,Value,Footprint,Quantity Per PCB,Datasheet,Mfg,JLCPCB PN,Mfg PN
1,"Light emitting diode, small symbol, filled shape",LED_Small_ALT,D2,Green,LED_0805_2012Metric,1,~,Hubei Kento Elec,C2292,C2292
2,"Light emitting diode, small symbol, filled shape",LED_Small_ALT,D1,Red,LED_0805_2012Metric,1,~,Hubei Kento Elec,C2293,C2293
3,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J2 J3 J4,Conn_01x04,JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical,3,~,JST Sales America,C265332,S4B-PH-SM4-K-TB(LF)(SN)
4,"Resistor, small symbol",R_Small,R1 R2,2.2k,R_0805_2012Metric,2,~,UNI-ROYAL,C17520,0805W8F2201T5E





Component Groups:,5
Component Count:,8
Fitted Components:,7
Number of PCBs:,1
Total components:,7
Schematic Version:,
Schematic Date:,
PCB Variant:,udefault
BoM Date:,"Tuesday, May 03, 2022 at 08:45:43 PM"
Schematic Source:,talonsrx-enc-limit-ftc.sch
KiCad Version:,Eeschema (5.1.6-0)
